,Date,Open,High,Low,Close
540,2008-11-21,81.93,84.12,79.14,82.58
541,2008-11-24,85.21,94.79,84.84,92.95
542,2008-11-25,94.63,94.7099,88.16,90.8
543,2008-11-26,89.92,95.25,89.85,95.0
544,2008-11-28,94.7,94.76,91.86,92.67
545,2008-12-01,91.3,92.27,88.92299999999999,88.93
546,2008-12-02,90.03,92.65,86.5,92.47
547,2008-12-03,89.4,96.23,88.8,95.9
548,2008-12-04,94.43,95.21,89.06,91.41
549,2008-12-05,90.35,94.49,88.86,94.0
550,2008-12-08,97.28,100.8,95.8,99.72
551,2008-12-09,98.395,103.6,97.21,100.06
552,2008-12-10,97.87,99.49,96.5,98.21
553,2008-12-11,97.35,101.24,94.83,95.0
